"","fips","location","rpl_themes","e_pov150","e_unemp","e_hburd","e_nohsdp","e_uninsur","e_age65","e_age17","e_disabl","e_sngpnt","e_limeng","e_minrty","e_munit","e_mobile","e_crowd","e_noveh","e_groupq"
"196","44007016300","Census Tract 163; Providence County; Rhode Island",0.4122,495,95,416,162,23,366,521,501,0,202,1695,71,0,0,86,3
"197","44007016400","Census Tract 164; Providence County; Rhode Island",0.9551,1770,405,1083,1034,335,450,1293,680,395,277,3823,209,1,77,405,79
"198","44007016500","Census Tract 165; Providence County; Rhode Island",0.4694,509,105,427,142,77,828,654,493,38,101,610,209,10,29,122,0
"199","44007016600","Census Tract 166; Providence County; Rhode Island",0.7347,444,100,155,285,91,263,368,265,64,131,1236,23,0,12,35,133
"200","44007016700","Census Tract 167; Providence County; Rhode Island",0.8939,1007,235,879,326,239,295,903,617,276,112,2407,121,0,55,264,40
"201","44007016800","Census Tract 168; Providence County; Rhode Island",0.5469,499,55,327,317,158,477,654,459,107,140,812,35,0,6,96,0
"202","44007016900","Census Tract 169; Providence County; Rhode Island",0.0735,97,19,172,103,137,391,294,174,12,10,375,0,0,0,29,4
"203","44007017000","Census Tract 170; Providence County; Rhode Island",0.7878,552,100,457,573,228,694,744,571,184,367,2265,504,107,31,36,128
"204","44007017100","Census Tract 171; Providence County; Rhode Island",0.9061,1289,234,603,656,236,574,1096,681,212,332,2708,246,72,101,248,68
"205","44007017300","Census Tract 173; Providence County; Rhode Island",0.7796,741,96,251,293,92,324,1059,690,117,77,1208,37,8,288,178,2
"206","44007017400","Census Tract 174; Providence County; Rhode Island",0.951,1760,157,590,450,276,537,1238,1125,482,265,2468,133,0,40,433,137
"207","44007017500","Census Tract 175; Providence County; Rhode Island",0.7265,541,160,460,375,387,329,724,671,138,113,984,9,0,0,48,32
"208","44007017600","Census Tract 176; Providence County; Rhode Island",0.902,1290,123,500,324,115,296,723,909,112,242,1572,72,0,9,240,91
"209","44007017700","Census Tract 177; Providence County; Rhode Island",0.4735,449,301,324,271,282,681,652,438,44,205,833,21,0,0,49,25
"210","44007017800","Census Tract 178; Providence County; Rhode Island",0.9959,882,116,620,341,403,643,574,417,44,487,1356,149,9,90,218,166
"211","44007017900","Census Tract 179; Providence County; Rhode Island",0.9918,1350,341,567,431,233,483,616,867,148,116,1195,411,44,20,340,35
"212","44007018000","Census Tract 180; Providence County; Rhode Island",0.9673,907,108,601,540,110,606,355,678,86,240,1381,713,0,64,445,37
"213","44007018100","Census Tract 181; Providence County; Rhode Island",0.9633,1464,122,563,471,263,132,1016,690,161,182,1799,359,0,173,366,1
"214","44007018200","Census Tract 182; Providence County; Rhode Island",0.7061,816,137,343,386,196,257,816,514,76,17,1564,326,0,58,114,0
"215","44007018300","Census Tract 183; Providence County; Rhode Island",0.849,437,78,347,179,60,111,403,287,162,15,732,173,6,0,99,0
"216","44007018400","Census Tract 184; Providence County; Rhode Island",0.8082,2104,119,528,783,143,1281,1457,1236,212,347,2908,585,0,31,382,176
"217","44007018500","Census Tract 185; Providence County; Rhode Island",0.5388,261,51,396,301,74,576,430,536,9,74,683,23,0,4,61,153
"218","44009041500","Census Tract 415; Washington County; Rhode Island",0.5755,219,41,154,35,74,337,135,167,23,0,42,81,0,15,0,51
"219","44009050102","Census Tract 501.02; Washington County; Rhode Island",0.0449,141,13,115,74,10,669,409,166,45,25,84,97,0,0,28,19
"220","44009050103","Census Tract 501.03; Washington County; Rhode Island",0.6367,1124,189,762,108,117,1009,1065,594,342,154,1093,711,241,0,327,13
"221","44009050104","Census Tract 501.04; Washington County; Rhode Island",0.1388,161,35,261,69,76,915,782,320,40,137,743,28,0,2,27,81
"222","44009050301","Census Tract 503.01; Washington County; Rhode Island",0.102,243,100,242,101,54,887,807,504,21,2,384,13,28,18,103,158
"223","44009050302","Census Tract 503.02; Washington County; Rhode Island",0.3224,359,69,256,153,122,781,413,382,101,57,381,69,0,0,125,6
"224","44009050401","Census Tract 504.01; Washington County; Rhode Island",0.0041,86,64,142,90,33,845,1166,446,80,38,494,0,0,0,28,0
"225","44009050402","Census Tract 504.02; Washington County; Rhode Island",0.151,195,77,271,78,62,660,451,260,84,0,92,45,0,32,0,32
"226","44009050500","Census Tract 505; Washington County; Rhode Island",0.4163,899,312,500,485,49,1198,1212,791,125,0,782,18,166,10,13,489
"227","44009050600","Census Tract 506; Washington County; Rhode Island",0.0327,440,71,376,123,88,1134,1790,723,161,16,632,0,101,0,14,79
"228","44009050701","Census Tract 507.01; Washington County; Rhode Island",0.2327,649,124,512,300,26,843,856,685,95,0,346,159,0,0,15,4
"229","44009050702","Census Tract 507.02; Washington County; Rhode Island",0.2571,460,169,287,128,138,641,689,569,126,0,221,0,20,64,46,6
"230","44009050801","Census Tract 508.01; Washington County; Rhode Island",0.751,1182,284,1316,434,305,967,884,820,154,188,813,550,0,17,381,138
"231","44009050802","Census Tract 508.02; Washington County; Rhode Island",0.3347,240,84,486,257,118,953,526,372,68,65,369,91,0,23,44,62
"232","44009050901","Census Tract 509.01; Washington County; Rhode Island",0.4041,714,252,511,395,205,1765,909,584,161,108,747,341,15,0,223,30
"233","44009050902","Census Tract 509.02; Washington County; Rhode Island",0.1673,597,259,329,86,21,1405,870,670,125,7,198,0,0,25,70,70
"234","44009051000","Census Tract 510; Washington County; Rhode Island",0.1061,227,78,222,81,14,794,210,138,18,15,72,82,0,0,22,35
"235","44009051101","Census Tract 511.01; Washington County; Rhode Island",0.1102,457,184,234,287,60,1109,659,432,18,43,250,27,80,0,14,71
"236","44009051102","Census Tract 511.02; Washington County; Rhode Island",0.2816,336,61,353,124,188,983,407,347,93,29,263,30,0,7,50,12
"237","44009051201","Census Tract 512.01; Washington County; Rhode Island",0.2082,924,144,413,133,112,865,941,468,121,28,730,93,0,0,133,94
"238","44009051202","Census Tract 512.02; Washington County; Rhode Island",0.6122,806,254,590,351,112,1142,852,505,47,29,563,356,12,76,212,7
"239","44009051302","Census Tract 513.02; Washington County; Rhode Island",0.1224,278,137,252,224,62,1581,459,706,27,3,181,0,225,0,47,7
"240","44009051304","Census Tract 513.04; Washington County; Rhode Island",0.0367,113,25,165,67,16,874,220,232,10,0,97,0,90,0,7,7
"241","44009051305","Census Tract 513.05; Washington County; Rhode Island",0.5673,504,171,423,84,149,1333,717,592,89,8,385,293,16,18,134,114
"242","44009051306","Census Tract 513.06; Washington County; Rhode Island",0.2939,822,318,397,53,154,1230,1409,490,115,73,854,161,0,0,28,118
"243","44009051400","Census Tract 514; Washington County; Rhode Island",0.3184,98,208,28,26,46,49,63,314,0,86,1230,18,0,0,11,5073
"244","44009051502","Census Tract 515.02; Washington County; Rhode Island",0.049,919,156,447,128,125,1223,1131,440,284,25,445,93,0,0,69,0
"245","44009051503","Census Tract 515.03; Washington County; Rhode Island",0.5143,693,176,500,97,66,985,257,415,11,4,336,343,22,0,97,98
"246","44009051504","Census Tract 515.04; Washington County; Rhode Island",0.2531,1930,116,769,90,173,1282,228,460,10,0,237,9,105,16,0,14
