"","geoid","location","rpl_eji","e_ozone","e_pm","e_dslpm","e_totcr","e_npl","e_tri","e_tsd","e_rmp","e_coal","e_lead","e_park","e_houage","e_wlkind","e_rail","e_road","e_airprt","e_impwtr","ep_minrty","ep_pov200","ep_nohsdp","ep_unemp","ep_renter","ep_houbdn","ep_uninsur","ep_noint","ep_age65","ep_age17","ep_disabl","ep_limeng","ep_mobile","ep_groupq","ep_bphigh","ep_asthma","ep_cancer","ep_mhlth","ep_diabetes"
"220","44009050402","Census Tract 504.02, Washington County, Rhode Is",0.0849,2.67,5.97,0.28,19.28,0,2.55,0,0,0,0,50.34,70.73,10.72,2.36,77.53,0,51.62,2.8,6.6238,2.5,4.6,20.8,25,2.8,5.1,19.9,15.8,12.4,0,0,0.7,30.9,10.2,9,10,8.4
"221","44009050500","Census Tract 505, Washington County, Rhode Islan",0.2622,2.67,5.92,0.2,20.42,0.86,6.76,0,0,0,0,54.65,54.72,7.61,6.97,12.55,0,66.69,7.5,12.2729,8.3,10.1,19.3,29.2289,0.7,9.5,17.7,16.3,10.8,0,10,5.1,29.5,11.1,7.3,12.4,8.3
"222","44009050600","Census Tract 506, Washington County, Rhode Islan",0.1971,2.67,5.87,0.21,19.92,0,15.3,0,0,0,0,57.16,50.48,6.17,14.7,43.52,8.74,88.06,5.3,8.6483,3.7,2.9,10.4,17.6966,1.8,7.9,14.9,19,11.8,0,2,0.8,28,11.1,7,12.7,7.8
"223","44009050700","Census Tract 507, Washington County, Rhode Islan",0.2251,2.67,5.94,0.19,19.95,0,21.37,0,0,0,0,45.47,60.76,6.72,8.72,42.35,0,78.99,4.8,19.9851,4.3,4.5,16.1,21.5019,3,10.4,16.4,20.2,9.5,0,1.7,0.1,31,11.3,7.8,13,9.2
"224","44009050801","Census Tract 508.01, Washington County, Rhode Is",0.6842,4,6.1,0.32,20.58,0,95.26,0,0,0,0,86.25,83.52,13.13,97.6,100,0,99.77,16.3,39.0201,7.4,12.6,62.8,40.7629,5.4,21.2,16.8,17,20.7,2.4,0,1.9,32,11.8,7.9,15.2,10.2
"225","44009050802","Census Tract 508.02, Washington County, Rhode Is",0.7064,4.67,6.1,0.24,19.68,0,56.11,0,0,0,0,79.97,69.88,8.75,44.22,75.99,69.06,99.72,12.6,20.8914,7.3,3,34.2,30.0826,3.1,16.4,23.6,14.2,12.6,3.8,1.3,1.4,36.1,11.2,9.8,12.2,10.9
"226","44009050901","Census Tract 509.01, Washington County, Rhode Is",0.5181,4,6.06,0.26,19.75,0,27.67,0,0,0,0,17.25,33.41,6.56,43.7,85.4,18.88,96.07,5.2,12.0251,9.6,7.3,25.8,22.5649,2.1,16,18.3,17.7,14.5,1.6,0,0.4,32.7,11.5,8.1,13.5,9.6
"227","44009050902","Census Tract 509.02, Washington County, Rhode Is",0.4011,4,6.01,0.21,19.1,0,10.4,0,0,0,0,81.21,46.44,6.5,27.86,42.37,24.36,87.86,5.6,14.3394,7.4,6.1,24,21.1456,2.1,8.1,22.2,21,9.8,0.6,0,1.3,33,11.4,8.3,12.8,9.6
"228","44009051000","Census Tract 510, Washington County, Rhode Islan",0.3311,4.67,6.05,0.26,19.11,0,0,0,0,0,0,30.78,66.27,6.3,0,24.61,9.75,49.56,1.9,18.5802,3.1,4.2,18.6,37.8691,1.4,11.4,38.9,12.8,8.6,0.6,1.9,2.9,40.8,10.2,12.6,9.2,11.7
"229","44009051101","Census Tract 511.01, Washington County, Rhode Is",0.2701,3.67,5.9,0.21,18.94,0,3.37,0,0,0,0,84.02,53.19,6.5,25.03,35.01,0,79.8,5.9,12.029,6.9,8.6,11.1,16.4926,3.5,9.8,23.1,16.2,10.9,0.2,3.1,1,32.6,11,8.6,11.9,9.5
